,Website,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6
0,https://Nordot.app,Technology & Computing,Technology & Computing/Computing,Technology & Computing/Computing/Computer Software and Applications,,,
1,https://texags.com,Sports,Sports/American Football,,,,
2,https://texags.com/football-recruiting,Sports,Sports/American Football,,,,
3,https://texags.com/aggie-football,Sports,Sports/American Football,,,,
4,https://texags.com/aggie-basketball,Sports,Sports/Basketball,,,,
5,https://texags.com/aggie-baseball,Sports,Sports/Baseball,,,,
6,https://texags.com/aggie-womens-basketball,Sports,Sports/Basketball,,,,
7,https://texags.com/aggie-soccer,Sports,Sports/Soccer,,,,
8,https://texags.com/aggie-softball,Sports,Sports/Softball,,,,
9,https://texags.com/aggie-volleyball,Sports,Sports/Volleyball,,,,
10,https://www.volnation.com/,Sports,Sports/Volleyball,,,,
